"seq" "sex" "dob_yy" "dob_mm" "dob_dd" "reg" "state" "helpertype" "helperpresent" "time"
"217" 221 2 28 12 31 1 14 0 0 1982
"218" 222 1 17 1 5 1 33 0 0 1982
"219" 223 2 18 1 17 1 45 11 1 1982
"220" 225 2 28 9 13 2 25 0 0 1982
"221" 226 2 26 7 23 1 25 11 1 1982
"222" 227 2 33 3 16 11 22 0 0 1982
"223" 228 1 23 8 28 2 25 0 0 1982
"224" 229 2 20 9 6 2 25 0 0 1982
"225" 232 1 33 1 8 2 24 0 0 1982
"226" 233 1 33 12 1 3 31 11 1 1982
"227" 234 1 26 11 27 2 25 0 0 1982
"228" 235 2 28 2 12 6 8 0 0 1982
"229" 236 1 24 9 2 1 25 0 0 1982
"230" 237 2 31 6 7 9 2 0 0 1982
"231" 238 1 28 8 11 1 25 0 0 1982
"232" 239 1 20 1 2 1 25 0 0 1982
"233" 240 1 31 7 31 2 24 0 0 1982
"234" 242 2 32 11 4 3 24 0 0 1982
"235" 245 1 32 4 19 3 31 0 0 1982
"236" 248 1 31 11 19 3 31 0 0 1982
"237" 251 2 20 4 7 3 31 0 0 1982
"238" 254 1 32 11 1 3 31 0 0 1982
"239" 256 2 30 2 2 3 31 0 0 1982
"240" 257 1 33 6 26 3 31 0 0 1982
"241" 259 2 29 1 24 3 31 11 1 1982
"242" 260 2 29 12 23 3 31 11 1 1982
"243" 261 2 33 3 31 3 31 0 0 1982
"244" 262 2 24 12 26 9 2 24 1 1982
"245" 263 2 28 5 26 11 43 11 1 1982
"246" 264 1 32 1 1 3 31 0 0 1982
"247" 265 2 25 10 2 3 13 11 1 1982
"248" 266 2 32 6 15 3 31 11 1 1982
"249" 267 1 27 1 21 3 31 0 0 1982
"250" 268 2 28 4 16 3 31 0 0 1982
"251" 269 1 32 7 1 3 31 0 0 1982
"252" 270 1 27 1 29 3 31 0 0 1982
"253" 273 1 25 12 13 3 31 0 0 1982
"254" 275 1 33 1 21 3 31 11 1 1982
"255" 276 1 30 8 31 3 31 0 0 1982
"256" 277 1 26 8 24 3 31 11 1 1982
"257" 279 1 29 4 25 3 13 0 0 1982
"258" 280 2 29 12 23 8 38 0 0 1982
"259" 282 1 29 3 21 8 41 0 0 1982
"260" 283 2 30 9 30 8 38 0 0 1982
"261" 284 1 22 5 4 8 26 0 0 1982
"262" 286 2 29 1 21 8 34 15 1 1982
"263" 288 2 33 2 28 8 34 0 0 1982
"264" 289 1 26 2 30 8 34 0 0 1982
"265" 290 1 23 7 7 9 3 0 0 1982
"266" 292 2 22 9 22 9 3 0 0 1982
"267" 293 1 27 10 18 9 3 11 1 1982
"268" 295 1 24 4 16 2 25 11 1 1982
"269" 296 1 20 5 30 9 3 0 0 1982
"270" 298 1 31 9 22 9 2 11 1 1982
"271" 299 1 27 9 2 4 28 0 0 1982
"272" 300 1 33 6 19 4 28 0 0 1982
"273" 301 1 26 7 24 12 39 0 0 1982
"274" 302 1 21 10 20 4 28 0 0 1982
"275" 304 2 27 3 7 4 28 0 0 1982
"276" 305 1 25 6 5 3 31 0 0 1982
"277" 306 1 34 1 30 3 31 0 0 1982
"278" 307 1 25 6 16 4 28 0 1 1982
"279" 308 1 32 5 28 4 28 0 0 1982
